Chapter,Level,Wave,IdMonster,EndTime,StepTime,Number,AtkDamage,Hp,Exp,Gold
1,1,1,M1_M1_M1,30,1_1_1,1_2_2,10_10_10,10_10_10,5_5_5,10
1,1,2,M1_M2_M1,30,1_1_1,2_1_2,12_12_12,13_13_13,5_5_5,30
1,1,3,M1_M2_M3,30,1_1_1,5_3_2,14_14_14,16_16_16,4_4_4,60
1,1,4,M1_M2_M4,30,1_1_1,5_4_1,16_16_16,19_19_19,4_4_4,90
1,1,5,M1_M6_M5,30,1_1_1,10_2_3,18_18_18,22_22_22,4_4_4,120
1,1,6,M1_M2_M3,30,1_1_1,8_5_2,20_20_20,25_25_25,4_4_4,150
1,1,7,M4_M8_M1,30,1_1_1,5_3_10,22_22_22,28_28_28,4_4_4,180
1,1,8,M1_M7_M5,30,1_1_1,10_8_5,24_24_24,31_31_31,3_3_3,210
1,1,9,M1_M4_M8,30,1_1_1,18_5_8,26_26_26,34_34_34,3_3_3,240
1,1,10,M1_M4_M8,30,1_1_1,18_5_8,28_28_28,37_37_37,3_3_3,270
1,1,11,M1_M7_M3,30,1_1_1,20_15_5,30_30_30,40_40_40,2_2_2,300
1,1,12,M1_M2_M5,30,1_1_1,20_15_5,32_32_32,43_43_43,2_2_2,330
1,1,13,M8_M4_M1,30,1_1_1,25_15_10,34_34_34,46_46_46,2_2_2,360
1,1,14,M1_M4_M8,30,1_1_1,10_15_25,36_36_36,49_49_49,2_2_2,390
1,1,15,B1,99999999,1_1_1,1_1_1,10_10_10,500_500_500,0_0_0,500
1,2,1,M1_M1_M1,30,1_1_1,6_6_3,10_10_10,10_10_10,2_2_2,10
1,2,2,M1_M2_M3,30,1_1_1,5_5_3,12_12_12,13_13_13,3_3_3,30
1,2,3,M1_M2_M4,30,1_1_1,7_7_2,14_14_14,16_16_16,3_3_3,60
1,2,4,M1_M6_M5,30,1_1_1,8_2_1,16_16_16,19_19_19,5_5_5,90
1,2,5,M1_M7_M4,30,1_1_1,5_5_3,18_18_18,22_22_22,5_5_5,120
1,2,6,M8_M7_M3,30,1_1_1,5_4_3,20_20_20,25_25_25,6_6_6,150
1,2,7,M1_M8_M5,30,1_1_1,5_4_1,22_22_22,28_28_28,8_8_8,180
1,2,8,M1_M8_M2,30,1_1_1,5_3_3,24_24_24,31_31_31,8_8_8,210
1,2,9,M1_M2_M4,30,1_1_1,5_3_3,26_26_26,34_34_34,9_9_9,240
1,2,10,M1_M1_M5,30,1_1_1,5_5_2,28_28_28,37_37_37,9_9_9,270
1,2,11,M7_M8_M3,30,1_1_1,5_5_2,30_30_30,40_40_40,10_10_10,300
1,2,12,M2_M4_M3,30,1_1_1,5_5_3,32_32_32,43_43_43,10_10_10,330
