Id,Name,Type,BaseValue,Description
PieceFire,PieceFire,Piece,0,No details yet.
PieceWater,PieceWater,Piece,0,No details yet.
PieceWind,PieceWind,Piece,0,No details yet.
PieceEarth,PieceEarth,Piece,0,No details yet.
PieceElectric,PieceElectric,Piece,0,No details yet.
Axe,Axe,Weapon,30,No details yet.
Armor,Armor,Armor,100,No details yet.
Shoes,Shoes,Shoes,100,No details yet.
Gloves,Gloves,Gloves,100,No details yet.
Hat,Hat,Hat,100,No details yet.
Ring,Ring,Ring,100,No details yet.
Axe1,Axe 1,Weapon,100,No details yet.
Armor1,Armor 1,Armor,100,No details yet.
Shoes1,Shoes 1,Shoes,100,No details yet.
Gloves1,Gloves 1,Gloves,100,No details yet.
Hat1,Hat 1,Hat,100,No details yet.
Ring1,Ring 1,Ring,100,No details yet.
Gold,Gold,ETC,0,No details yet.
Gem,Gem,ETC,0,No details yet.
SilverKey,SilverKey,Piece,0,No details yet.
GoldKey,GoldKey,Piece,0,No details yet.
