Id,HP,MoveSpeed,Damage,ItemAttractionRange,AttackRange,Armor
Item1,50,0,50,0,2,0
Item2,50,50,50,50,50,50
WP1,0,0,10,0,2,0
WP2,0,0,15,0,3,0
WP3,0,0,20,0,4,0
WP4,0,0,40,0,6,0
WP5,0,0,50,0,8,0
AR1,20,0,0,0,0,20
AR2,10,0,0,0,0,15
AR3,15,0,0,0,0,20
AR4,20,0,0,0,0,25
AR5,30,0,0,0,0,35
PE1,0,0,0,2,2,2
PE2,0,0,0,4,2,4
PE3,0,0,0,6,3,6
PE4,0,0,0,8,4,6
PE5,0,0,0,10,5,8
BE1,4,0,0,4,0,0
BE2,5,0,0,6,0,0
BE3,6,0,0,6,0,0
BE4,7,0,0,7,0,0
BE5,8,0,0,8,0,0
SH1,0,4,0,0,0,4
SH2,0,8,0,0,0,5
SH3,0,10,0,0,0,8
SH4,0,12,0,0,0,10
SH5,0,15,0,0,0,15
GL1,0,0,4,2,0,0
GL2,0,0,6,4,0,0
GL3,0,0,8,6,0,0
GL4,0,0,10,8,0,0
GL5,0,0,15,10,0,0
