Level,AttackDamage,AttackDamageExp,AttackSpeed,AttackSpeedExp,AttackRange,AttackRangExp,CriticalDamage,CriticalDamageExp,CriticalRate,CriticalRateExp,Health,HealthExp
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,14,0.03,10,0.02,8,5,5,0.25,5,5,12
2,2,39,0.06,28,0.04,22,10,10,0.5,10,10,33
3,3,72,0.09,51,0.06,41,15,15,0.75,15,15,62
4,4,113,0.12,81,0.08,65,20,20,1,20,20,97
5,5,163,0.15,117,0.1,93,25,25,1.25,25,25,140
6,6,221,0.18,158,0.12,126,30,30,1.5,30,30,190
7,7,288,0.21,206,0.14,165,35,35,1.75,35,35,247
8,8,363,0.24,259,0.16,207,40,40,2,40,40,311
9,9,447,0.27,319,0.18,255,45,45,2.25,45,45,383
10,10,641,0.3,458,0.2,366,50,50,2.5,50,50,549
11,11,753,0.33,538,0.22,430,55,55,2.75,55,55,646
12,12,875,0.36,625,0.24,500,60,60,3,60,60,750
13,13,1006,0.39,719,0.26,575,65,65,3.25,65,65,863
14,14,1147,0.42,819,0.28,655,70,70,3.5,70,70,983
15,15,1307,0.45,933,0.3,747,75,75,3.75,75,75,1120
16,16,1485,0.48,1061,0.32,849,80,80,4,80,80,1273
17,17,1683,0.51,1202,0.34,961,85,85,4.25,85,85,1442
18,18,1899,0.54,1356,0.36,1085,90,90,4.5,90,90,1628
19,19,2134,0.57,1524,0.38,1219,95,95,4.75,95,95,1829
20,20,2642,0.6,1887,0.4,1509,100,100,5,100,100,2264
21,21,2945,0.63,2103,0.42,1683,105,105,5.25,105,105,2524
22,22,3269,0.66,2335,0.44,1868,110,110,5.5,110,110,2802
23,23,3614,0.69,2581,0.46,2065,115,115,5.75,115,115,3097
24,24,3979,0.72,2842,0.48,2274,120,120,6,120,120,3411
25,25,4366,0.75,3119,0.5,2495,125,125,6.25,125,125,3743
26,26,4774,0.78,3410,0.52,2728,130,130,6.5,130,130,4092
27,27,5203,0.81,3717,0.54,2973,135,135,6.75,135,135,4460
28,28,5653,0.84,4038,0.56,3230,140,140,7,140,140,4845
29,29,6124,0.87,4374,0.58,3499,145,145,7.25,145,145,5249
30,30,7128,0.9,5092,0.6,4073,150,150,7.5,150,150,6110
31,31,7768,0.93,5549,0.62,4439,155,155,7.75,155,155,6659
32,32,8446,0.96,6033,0.64,4826,160,160,8,160,160,7239
33,33,9162,0.99,6544,0.66,5235,165,165,8.25,165,165,7853
34,34,9915,1.02,7082,0.68,5666,170,170,8.5,170,170,8499
35,35,10706,1.05,7647,0.7,6118,175,175,8.75,175,175,9177
36,36,11535,1.08,8239,0.72,6591,180,180,9,180,180,9887
37,37,12402,1.11,8859,0.74,7087,185,185,9.25,185,185,10630
38,38,13307,1.14,9505,0.76,7604,190,190,9.5,190,190,11406
39,39,14249,1.17,10178,0.78,8142,195,195,9.75,195,195,12213
40,40,16128,1.2,11520,0.8,9216,200,200,10,200,200,13824
41,41,17399,1.23,12428,0.82,9942,205,205,10.25,205,205,14913
42,42,18718,1.26,13370,0.84,10696,210,210,10.5,210,210,16044
43,43,20084,1.29,14346,0.86,11476,215,215,10.75,215,215,17215
44,44,21497,1.32,15355,0.88,12284,220,220,11,220,220,18426
45,45,22989,1.35,16421,0.9,13137,225,225,11.25,225,225,19705
46,46,24560,1.38,17543,0.92,14034,230,230,11.5,230,230,21051
47,47,26210,1.41,18721,0.94,14977,235,235,11.75,235,235,22465
48,48,27938,1.44,19956,0.96,15964,240,240,12,240,240,23947
49,49,29745,1.47,21246,0.98,16997,245,245,12.25,245,245,25496
50,50,33265,1.5,23761,1,19008,250,250,12.5,250,250,28513
51,51,35883,1.53,25631,1.02,20505,255,255,12.75,255,255,30757
52,52,38606,1.56,27576,1.04,22061,260,260,13,260,260,33091
53,53,41435,1.59,29596,1.06,23677,265,265,13.25,265,265,35515
54,54,44368,1.62,31691,1.08,25353,270,270,13.5,270,270,38029
55,55,47406,1.65,33861,1.1,27089,275,275,13.75,275,275,40634
56,56,50549,1.68,36106,1.12,28885,280,280,14,280,280,43328
57,57,53797,1.71,38427,1.14,30741,285,285,14.25,285,285,46112
58,58,57150,1.74,40822,1.16,32657,290,290,14.5,290,290,48986
59,59,60609,1.77,43292,1.18,34633,295,295,14.75,295,295,51950
60,60,67136,1.8,47954,1.2,38363,300,300,15,300,300,57545
61,61,72446,1.83,51747,1.22,41398,305,305,15.25,305,305,62097
62,62,77992,1.86,55708,1.24,44567,310,310,15.5,310,310,66850
63,63,83773,1.89,59838,1.26,47870,315,315,15.75,315,315,71805
64,64,89789,1.92,64135,1.28,51308,320,320,16,320,320,76962
65,65,96040,1.95,68600,1.3,54880,325,325,16.25,325,325,82320
66,66,102526,1.98,73233,1.32,58586,330,330,16.5,330,330,87879
67,67,109248,2.01,78034,1.34,62427,335,335,16.75,335,335,93641
68,68,116204,2.04,83003,1.36,66402,340,340,17,340,340,99604
69,69,123397,2.07,88140,1.38,70512,345,345,17.25,345,345,105768
70,70,136395,2.1,97425,1.4,77940,350,350,17.5,350,350,116910
71,71,147613,2.13,105438,1.42,84350,355,355,17.75,355,355,126525
72,72,159175,2.16,113697,1.44,90957,360,360,18,360,360,136436
73,73,171082,2.19,122202,1.46,97761,365,365,18.25,365,365,146642
74,74,183334,2.22,130953,1.48,104762,370,370,18.5,370,370,157143
75,75,196145,2.25,140103,1.5,112083,375,375,18.75,375,375,168124
76,76,209515,2.28,149654,1.52,119723,380,380,19,380,380,179585
77,77,223446,2.31,159604,1.54,127683,385,385,19.25,385,385,191525
78,78,237936,2.34,169954,1.56,135963,390,390,19.5,390,390,203945
79,79,252985,2.37,180704,1.58,144563,395,395,19.75,395,395,216845
80,80,279636,2.4,199740,1.6,159792,400,400,20,400,400,239688
81,81,304085,2.43,217203,1.62,173763,405,405,20.25,405,405,260644
82,82,329380,2.46,235271,1.64,188217,410,410,20.5,410,410,282325
83,83,355521,2.49,253944,1.66,203155,415,415,20.75,415,415,304732
84,84,382509,2.52,273220,1.68,218576,420,420,21,420,420,327864
85,85,410343,2.55,293102,1.7,234481,425,425,21.25,425,425,351722
86,86,439023,2.58,313588,1.72,250870,430,430,21.5,430,430,376305
87,87,468549,2.61,334678,1.74,267742,435,435,21.75,435,435,401614
